id,value
Sample.High_Rating.Topic_4.wei , 0.01233269
Sample.High_Rating.Topic_4.scoop , 0.012235379
Sample.High_Rating.Topic_4.tai , 0.011599076
Sample.High_Rating.Topic_4.delightful , 0.011023252
Sample.High_Rating.Topic_4.pickles , 0.010082281
Sample.High_Rating.Topic_4.cater , 0.009162296
Sample.High_Rating.Topic_4.exceptionally , 0.007952533
Sample.High_Rating.Topic_4.recall , 0.007917022
Sample.High_Rating.Topic_4.smart , 0.007804972
Sample.High_Rating.Topic_4.trade , 0.0074243736
Sample.High_Rating.Topic_4.mash , 0.00740623
Sample.High_Rating.Topic_4.angel , 0.007177305
Sample.High_Rating.Topic_5,
Sample.High_Rating.Topic_5.great , 0.020436637
Sample.High_Rating.Topic_5.place , 0.015452821
Sample.High_Rating.Topic_5.love , 0.013092184
Sample.High_Rating.Topic_5.good , 0.012477016
Sample.High_Rating.Topic_5.service , 0.011503927
Sample.High_Rating.Topic_5.friendly , 0.010313925
Sample.High_Rating.Topic_5.thai , 0.009701187
Sample.High_Rating.Topic_5.staff , 0.009238288
Sample.High_Rating.Topic_5.best , 0.0086325165
Sample.High_Rating.Topic_5.amazing , 0.008354524
Sample.High_Rating.Topic_5.delicious , 0.007281001
Sample.High_Rating.Topic_5.awesome , 0.0069376025
Sample.High_Rating.Topic_5.nice , 0.005857898
Sample.High_Rating.Topic_5.really , 0.005818154
Sample.High_Rating.Topic_5.atmosphere , 0.005791434
Sample.High_Rating.Topic_6,
Sample.High_Rating.Topic_6.pizza , 0.05694253
Sample.High_Rating.Topic_6.delivery , 0.011579276
Sample.High_Rating.Topic_6.toppings , 0.008467272
Sample.High_Rating.Topic_6.microwave , 0.0077382526
Sample.High_Rating.Topic_6.concept , 0.007431889
Sample.High_Rating.Topic_6.bbq , 0.0058445022
Sample.High_Rating.Topic_6.coconut , 0.0058219573
Sample.High_Rating.Topic_6.meats , 0.0050318744
Sample.High_Rating.Topic_6.eggplant , 0.004492887
Sample.High_Rating.Topic_6.deliver , 0.0044641034
Sample.High_Rating.Topic_6.mellow , 0.0042016087
Sample.High_Rating.Topic_6.pub , 0.003964265
Sample.High_Rating.Topic_6.pasta , 0.003926225
Sample.High_Rating.Topic_6.wrap , 0.003917356
Sample.High_Rating.Topic_6.dog , 0.0032931084
Sample.High_Rating.Topic_7,
Sample.High_Rating.Topic_7.juice , 0.04169247
Sample.High_Rating.Topic_7.rib , 0.03149935
Sample.High_Rating.Topic_7.nachos , 0.014545407
Sample.High_Rating.Topic_7.ranch , 0.009868296
Sample.High_Rating.Topic_7.hotter , 0.008222096
Sample.High_Rating.Topic_7.allergic , 0.008186555
Sample.High_Rating.Topic_7.facebook , 0.007975741
Sample.High_Rating.Topic_7.creating , 0.007968142
Sample.High_Rating.Topic_7.spending , 0.0073014
Sample.High_Rating.Topic_7.expand , 0.006869629
Sample.High_Rating.Topic_7.corporate , 0.0067488295
Sample.High_Rating.Topic_7.treasure , 0.006688217
Sample.High_Rating.Topic_7.vinaigrette , 0.0066793268
Sample.High_Rating.Topic_7.guilt , 0.0065627596
Sample.High_Rating.Topic_7.recommending , 0.0062151607
Sample.High_Rating.Topic_8,
Sample.High_Rating.Topic_8.allergies , 0.027536185
Sample.High_Rating.Topic_8.wheat , 0.027128492
Sample.High_Rating.Topic_8.allergy , 0.014052973
Sample.High_Rating.Topic_8.proteins , 0.011847815
Sample.High_Rating.Topic_8.asu , 0.011263846
Sample.High_Rating.Topic_8.spicey , 0.009104113
Sample.High_Rating.Topic_8.insanely , 0.0088335555
Sample.High_Rating.Topic_8.magic , 0.00883164
Sample.High_Rating.Topic_8.sooner , 0.008619981
Sample.High_Rating.Topic_8.member , 0.008378306
Sample.High_Rating.Topic_8.sweat , 0.008253311
Sample.High_Rating.Topic_8.bummed , 0.007924646
Sample.High_Rating.Topic_8.gluten , 0.007782128
Sample.High_Rating.Topic_8.concern , 0.0076288017
Sample.High_Rating.Topic_8.west , 0.006927597
Sample.Low_Rating,
Sample.Low_Rating.Topic_9,
Sample.Low_Rating.Topic_9.thai , 0.010927317
Sample.Low_Rating.Topic_9.bad , 0.007811306
Sample.Low_Rating.Topic_9.place , 0.0071900263
Sample.Low_Rating.Topic_9.dislike , 0.0062239096
Sample.Low_Rating.Topic_9.chicken , 0.005961966
Sample.Low_Rating.Topic_9.worse , 0.0052464725
Sample.Low_Rating.Topic_9.just , 0.005233668
Sample.Low_Rating.Topic_9.really , 0.0050273445
Sample.Low_Rating.Topic_9.curry , 0.0049065123
Sample.Low_Rating.Topic_9.rice , 0.004608536
Sample.Low_Rating.Topic_9.grose , 0.0044979416
Sample.Low_Rating.Topic_9.ordered , 0.0044069136
Sample.Low_Rating.Topic_9.try , 0.00438832
Sample.Low_Rating.Topic_9.sauce , 0.0043050456
Sample.Low_Rating.Topic_9.restaurant , 0.00429891
Sample.Low_Rating.Topic_10,
Sample.Low_Rating.Topic_10.sandwich , 0.03304811
Sample.Low_Rating.Topic_10.duck , 0.015149074
Sample.Low_Rating.Topic_10.fries , 0.011853387
Sample.Low_Rating.Topic_10.bbq , 0.00640429
Sample.Low_Rating.Topic_10.slow , 0.0059411777
Sample.Low_Rating.Topic_10.coconut , 0.0055794506
Sample.Low_Rating.Topic_10.wrap , 0.005521681
Sample.Low_Rating.Topic_10.beans , 0.0053858813
Sample.Low_Rating.Topic_10.dirty , 0.005314635
Sample.Low_Rating.Topic_10.burgers , 0.0052730064
Sample.Low_Rating.Topic_10.wraps , 0.0051975576
Sample.Low_Rating.Topic_10.pie , 0.0050246906
Sample.Low_Rating.Topic_10.painful , 0.004880314
Sample.Low_Rating.Topic_10.yogurt , 0.004768493
Sample.Low_Rating.Topic_10.spices , 0.004702318
Sample.Low_Rating.Topic_11,
Sample.Low_Rating.Topic_11.vegan , 0.010908878
Sample.Low_Rating.Topic_11.minutes , 0.006081341
Sample.Low_Rating.Topic_11.service , 0.0056201546
Sample.Low_Rating.Topic_11.time , 0.0054754126
Sample.Low_Rating.Topic_11.just , 0.0054707644
Sample.Low_Rating.Topic_11.place , 0.005451067
Sample.Low_Rating.Topic_11.order , 0.0052015823
Sample.Low_Rating.Topic_11.got , 0.004419712
Sample.Low_Rating.Topic_11.like , 0.0042296536
Sample.Low_Rating.Topic_11.bad , 0.0042176237
Sample.Low_Rating.Topic_11.didn , 0.004204867
Sample.Low_Rating.Topic_11.table , 0.004181914
Sample.Low_Rating.Topic_11.took , 0.004045913
Sample.Low_Rating.Topic_11.don , 0.0039989133
Sample.Low_Rating.Topic_11.said , 0.0038137296
Sample.Low_Rating.Topic_12,
Sample.Low_Rating.Topic_12.breakfast , 0.039858107
Sample.Low_Rating.Topic_12.milk , 0.02524082
Sample.Low_Rating.Topic_12.coffee , 0.0183451
Sample.Low_Rating.Topic_12.cookie , 0.017431464
Sample.Low_Rating.Topic_12.coconut , 0.013605885
Sample.Low_Rating.Topic_12.hut , 0.012987842
Sample.Low_Rating.Topic_12.process , 0.012046159
Sample.Low_Rating.Topic_12.cilantro , 0.011690299
Sample.Low_Rating.Topic_12.truffle , 0.011217916
Sample.Low_Rating.Topic_12.healthier , 0.011198924
Sample.Low_Rating.Topic_12.opening , 0.010458388
Sample.Low_Rating.Topic_12.catastrophic , 0.010429568
Sample.Low_Rating.Topic_12.health , 0.009319809
Sample.Low_Rating.Topic_12.morning , 0.0075967014
Sample.Low_Rating.Topic_12.watery , 0.0072200443
Sample.Low_Rating.Topic_13,
Sample.Low_Rating.Topic_13.tom , 0.104618825
Sample.Low_Rating.Topic_13.pancakes , 0.022568934
Sample.Low_Rating.Topic_13.addicted , 0.010353319
Sample.Low_Rating.Topic_13.alike , 0.009860017
Sample.Low_Rating.Topic_13.dang , 0.008435729
Sample.Low_Rating.Topic_13.defiantly , 0.0076657548
Sample.Low_Rating.Topic_13.hair , 0.0071523646
Sample.Low_Rating.Topic_13.caesar , 0.006957373
Sample.Low_Rating.Topic_13.members , 0.0065930695
Sample.Low_Rating.Topic_13.york , 0.006576249
Sample.Low_Rating.Topic_13.downfall , 0.0064745205
Sample.Low_Rating.Topic_13.seven , 0.0064256266
Sample.Low_Rating.Topic_13.addictive , 0.006084461
Sample.Low_Rating.Topic_13.min , 0.006082149
Sample.Low_Rating.Topic_13.breakfast , 0.005622196
Sample.Low_Rating.Topic_14,
Sample.Low_Rating.Topic_14.vegan , 0.065519944
Sample.Low_Rating.Topic_14.indian , 0.014643442
Sample.Low_Rating.Topic_14.peanut , 0.009828478
Sample.Low_Rating.Topic_14.thai , 0.009462404
Sample.Low_Rating.Topic_14.chicken , 0.009136735
Sample.Low_Rating.Topic_14.yellow , 0.008473611
Sample.Low_Rating.Topic_14.potatoes , 0.008337364
Sample.Low_Rating.Topic_14.meats , 0.008264586
Sample.Low_Rating.Topic_14.curry , 0.007887844
Sample.Low_Rating.Topic_14.garlic , 0.0076692733
Sample.Low_Rating.Topic_14.wings , 0.0068355417
Sample.Low_Rating.Topic_14.pad , 0.006780138
Sample.Low_Rating.Topic_14.fries , 0.0061896085
Sample.Low_Rating.Topic_14.broccoli , 0.006158863
Sample.Low_Rating.Topic_14.chili , 0.006143166
